GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
meu-projeto,default,Calculator,13,67,2,10,5,16,3,5,1,1
meu-projeto,default,Main,35,0,0,0,10,0,2,0,2,0
